Species,Stock,Region,Latitude,Longitude,AlongShore_Distance,StockNumber,SNIndex,BY,S,R,t
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1962,4,21.8,12
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1963,4.4,2.9,13
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1964,15,17.7,14
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1965,0.9,1,15
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1966,1.7,26.5,16
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1967,0.7,4.4,17
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1968,26.5,18.9,18
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1969,4.4,8.8,19
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1970,11.1,1.2,20
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1971,8.5,0.2,21
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1972,1.2,33,22
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1973,0.2,0.6,23
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1974,23,37.3,24
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1975,0.6,6.4,25
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1976,37.3,558.2,26
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1977,6.4,12.7,27
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1978,90.4,391.9,28
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1979,9.3,14.8,29
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1980,94,56.8,30
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1981,5.7,5.2,31
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1982,51.7,42.8,32
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1983,3.9,3.3,33
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1984,33,22.8,34
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1985,1.4,1.9,35
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1986,12.9,58.7,36
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1987,1.1,5.1,37
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1988,28.5,22.3,38
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1989,1.9,4.6,39
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1990,22.2,58.3,40
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1991,1.2,0.8,41
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1992,50,282.8,42
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1993,0.7,6.6,43
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1994,94.7,219.8,44
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1995,5.2,9.9,45
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,40,1996,216.6,145.6,46
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,39,1962,826.1,2417,12
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,39,1963,886.5,3121.3,13
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,39,1964,902.4,847.7,14
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,39,1965,789.9,380.4,15
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,39,1966,627.4,1391.4,16
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,39,1967,327.3,2769,17
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,39,1968,528.1,2386.27,18
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,39,1969,1906.2,1699.94,19
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,39,1970,1007.9,135.11,20
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,39,1971,488,122.13,21
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,39,1972,81.8,334.13,22
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,39,1973,85.7,387.85,23
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,39,1974,238.6,3119.81,24
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,39,1975,357.8,3332,25
